region,attribute,value,az_region_to_deploy_fuzzy_match,whitelistips,is_in_service_tag
North Central US,Metastore,consolidated-northcentralus-prod-metastore.mysql.database.azure.com and consolidated-northcentralusc2-prod-metastore-0.mysql.database.azure.com,northcentralus,"['52.162.104.35/32', '52.162.104.36/32']",no
North Central US,Artifact Blob storage primary,dbartifactsprodncus.blob.core.windows.net,northcentralus,['52.239.186.196/32'],no
North Central US,Artifact Blob storage secondary,dbartifactsprodcus.blob.core.windows.net,northcentralus,"['20.150.77.164/32', '20.150.77.228/32', '20.150.89.100/32']",no
North Central US,Log Blob storage,dblogprodwestus.blob.core.windows.net and dblogprodncentralus.blob.core.windows.net,northcentralus,"['52.239.186.36/32', '52.239.229.100/32']",no
North Central US,Event Hub endpoint,prod-westus-observabilityEventHubs.servicebus.windows.net and prod-northcentralusc2-observabilityeventhubs.servicebus.windows.net,northcentralus,"['40.112.242.0/32', '52.162.106.76/32']",no
North Europe,Metastore,consolidated-northeurope-prod-metastore.mysql.database.azure.com and consolidated-northeurope-prod-metastore-addl-1.mysql.database.azure.com and consolidated-northeurope-prod-metastore-addl-2.mysql.database.azure.com and consolidated-northeurope-prod-metastore-addl-3.mysql.database.azure.com and consolidated-northeuropec2-prod-metastore-0.mysql.database.azure.com and consolidated-northeuropec2-prod-metastore-1.mysql.database.azure.com and consolidated-northeuropec2-prod-metastore-2.mysql.database.azure.com and consolidated-northeuropec2-prod-metastore-3.mysql.database.azure.com,northeurope,"['52.138.224.7/32', '52.138.224.6/32']",no
North Europe,Artifact Blob storage primary,dbartifactsprodnortheu.blob.core.windows.net and arprodnortheua1.blob.core.windows.net and arprodnortheua2.blob.core.windows.net and arprodnortheua3.blob.core.windows.net and arprodnortheua4.blob.core.windows.net and arprodnortheua5.blob.core.windows.net and arprodnortheua6.blob.core.windows.net,northeurope,"['52.239.205.196/32', '52.239.138.100/32', '52.239.137.36/32', '52.236.40.36/32', '52.245.40.100/32', '20.60.19.36/32', '52.239.138.36/32', '20.150.104.4/32', '52.239.137.164/32']",no
North Europe,Artifact Blob storage secondary,dbartifactsprodwesteu.blob.core.windows.net,northeurope,['52.239.242.196/32'],no
North Europe,Log Blob storage,dblogprodwesteurope.blob.core.windows.net,northeurope,['52.239.141.36/32'],no
North Europe,Event Hub endpoint,prod-westeurope-observabilityeventhubs.servicebus.windows.net and prod-northeuropec2-observabilityeventhubs.servicebus.windows.net,northeurope,"['13.69.64.0/32', '52.169.18.8/32']",no
Norway East,Metastore,consolidated-norwayeast-prod-metastore-0.mysql.database.azure.com,norwayeast,['51.120.96.0/32'],no
Norway East,Artifact Blob storage primary,dbartifactsprodnweast.blob.core.windows.net,norwayeast,['20.38.120.36/32'],no
Norway East,Artifact Blob storage secondary,dbartifactsprodwestus.blob.core.windows.net,norwayeast,['52.238.56.180/32'],no
Norway East,Log Blob storage,dblogprodnweast.blob.core.windows.net,norwayeast,['20.38.120.36/32'],no
Norway East,Event Hub endpoint,prod-norwayeast-observabilityEventHubs.servicebus.windows.net,norwayeast,['51.120.98.128/32'],no
South Africa North,Metastore,consolidated-southafricanorth-prod-metastore.mysql.database.azure.com,southafricanorth,['102.133.152.0/32'],no
South Africa North,Artifact Blob storage primary,dbartifactsprodsafrican.blob.core.windows.net,southafricanorth,['52.239.232.36/32'],no
South Africa North,Artifact Blob storage secondary,dbartifactsprodwestus.blob.core.windows.net,southafricanorth,['52.238.56.180/32'],no
South Africa North,Log Blob storage,dblogprodsafrican.blob.core.windows.net,southafricanorth,['52.239.232.36/32'],no
South Africa North,Event Hub endpoint,prod-southafricanorth-observabilityeventhubs.servicebus.windows.net,southafricanorth,['102.133.154.131/32'],no
South Central US,Metastore,consolidated-southcentralus-prod-metastore.mysql.database.azure.com and consolidated-southcentralus-prod-metastore-addl-1.mysql.database.azure.com. and consolidated-southcentralusc2-prod-metastore-addl-1.mysql.database.azure.com,southcentralus,['20.45.120.0/32'],no
South Central US,Artifact Blob storage primary,dbartifactsprodscus.blob.core.windows.net and arprodscusa1.blob.core.windows.net and arprodscusa2.blob.core.windows.net and arprodscusa3.blob.core.windows.net and arprodscusa4.blob.core.windows.net and arprodscusa5.blob.core.windows.net and arprodscusa6.blob.core.windows.net,southcentralus,"['20.60.149.33/32', '20.38.105.4/32', '20.150.20.132/32', '20.60.49.4/32', '20.150.70.228/32', '20.38.104.100/32']",no
South Central US,Artifact Blob storage secondary,dbartifactsprodncus.blob.core.windows.net.,southcentralus,['52.239.186.196/32'],no
South Central US,Log Blob storage,dblogprodwestus.blob.core.windows.net and dblogprodscentralus.blob.core.windows.net,southcentralus,"['52.239.229.100/32', '20.150.38.36/32']",no
South Central US,Event Hub endpoint,prod-westus-observabilityEventHubs.servicebus.windows.net and prod-southcentralusc2-observabilityeventhubs.servicebus.windows.net,southcentralus,"['40.112.242.0/32', '104.210.146.250/32']",no
South India,Metastore,consolidated-southindia-prod-metastore.mysql.database.azure.com,southindia,['104.211.224.146/32'],no
South India,Artifact Blob storage primary,dbartifactsprodsindia.blob.core.windows.net,southindia,['104.211.232.16/32'],no
South India,Artifact Blob storage secondary,dbartifactsprodcindia.blob.core.windows.net,southindia,['104.211.109.52/32'],no
South India,Log Blob storage,dblogprodcindia.blob.core.windows.net,southindia,['20.38.126.228/32'],no
South India,Event Hub endpoint,prod-centralindia-observabilityeventhubs.servicebus.windows.net,southindia,['104.211.98.185/32'],no
Southeast Asia,Metastore,consolidated-southeastasia-prod-metastore.mysql.database.azure.com and consolidated-southeastasia-prod-metastore-addl-1.mysql.database.azure.com,southeastasia,['40.78.233.2/32'],no
Southeast Asia,Artifact Blob storage primary,dbartifactsprodseap.blob.core.windows.net and arprodseapa1.blob.core.windows.net and arprodseapa2.blob.core.windows.net and arprodseapa3.blob.core.windows.net,southeastasia,"['52.239.129.196/32', '20.150.127.43/32', '52.239.197.100/32', '52.239.129.68/32', '20.150.86.132/32']",no
Southeast Asia,Artifact Blob storage secondary,dbartifactsprodeap.blob.core.windows.net,southeastasia,['52.175.112.16/32'],no
Southeast Asia,Log Blob storage,dblogprodseasia.blob.core.windows.net,southeastasia,"['20.150.86.36/32', '20.150.86.4/32', '20.150.86.100/32']",no
Southeast Asia,Event Hub endpoint,prod-southeastasia-observabilityeventhubs.servicebus.windows.net,southeastasia,['40.78.234.0/32'],no
Sweden Central,Metastore,consolidated-swedencentral-prod-metastore-0.mysql.database.azure.com,swedencentral,['51.12.96.32/32'],no
Sweden Central,Artifact Blob storage primary,dbartifactsprodswdncntr.blob.core.windows.net,swedencentral,['20.60.234.4/32'],no
Sweden Central,Artifact Blob storage secondary,dbartifactsprodnweast.blob.core.windows.net,swedencentral,['20.38.120.36/32'],no
Sweden Central,Log Blob storage,dblogprodswdncntr.blob.core.windows.net,swedencentral,['20.60.78.100/32'],no
Sweden Central,Event Hub endpoint,prod-swedencentral-observabilityeventhubs.servicebus.windows.net,swedencentral,['51.12.98.160/32'],no
Switzerland North,Metastore,consolidated-switzerlandnorth-prod-metastore-0.mysql.database.azure.com,switzerlandnorth,['51.107.56.0/32'],no
Switzerland North,Artifact Blob storage primary,dbartifactsprodswissnor.blob.core.windows.net,switzerlandnorth,['52.239.251.68/32'],no
Switzerland North,Artifact Blob storage secondary,dbartifactsprodwesteu.blob.core.windows.net,switzerlandnorth,['52.239.242.196/32'],no
Switzerland North,Log Blob storage,dblogprodswissnor.blob.core.windows.net,switzerlandnorth,['52.239.251.68/32'],no
Switzerland North,Event Hub endpoint,prod-switzerlandnorth-observabilityeventhubs.servicebus.windows.net,switzerlandnorth,['51.107.58.128/32'],no
Switzerland West and  (Requires Azure region access request),Metastore,consolidated-switzerlandwest-prod-metastore-0.mysql.database.azure.com and consolidated-switzerlandwest-prod-metastore-0.mysql.database.azure.com,switzerlandwest,['51.107.152.0/32'],no
Switzerland West and  (Requires Azure region access request),Artifact Blob storage primary,dbartifactsprodswisswest.blob.core.windows.net,switzerlandwest,['52.239.250.4/32'],no
Switzerland West and  (Requires Azure region access request),Artifact Blob storage secondary,dbartifactsprodswissnor.blob.core.windows.net,switzerlandwest,['52.239.251.68/32'],no
Switzerland West and  (Requires Azure region access request),Log Blob storage,dblogprodswisswest.blob.core.windows.net,switzerlandwest,['52.239.250.4/32'],no
Switzerland West and  (Requires Azure region access request),Event Hub endpoint,prod-switzerlandwest-observabilityeventhubs.servicebus.windows.net,switzerlandwest,['51.107.154.128/32'],no
UAE North,Metastore,consolidated-uaenorth-prod-metastore.mysql.database.azure.com,uaenorth,['65.52.248.0/32'],no
UAE North,Artifact Blob storage primary,dbartifactsproduaenorth.blob.core.windows.net,uaenorth,['52.239.233.228/32'],no
UAE North,Artifact Blob storage secondary,dbartifactsprodsafrican.blob.core.windows.net,uaenorth,['52.239.232.36/32'],no
