,region,attribute,value,az_region_to_deploy_fuzzy_match,whitelistips
96,North Central US,Artifact Blob storage primary,dbartifactsprodncus.blob.core.windows.net,northcentralus,['52.239.186.196']
97,North Central US,Artifact Blob storage secondary,dbartifactsprodcentralus.blob.core.windows.net,northcentralus,[]
98,North Central US,Log Blob storage,,northcentralus,[]
99,North Central US,Event Hub endpoint,,northcentralus,[]
100,North Europe,Metastore,,northeurope,[]
101,North Europe,Artifact Blob storage primary,,northeurope,[]
102,North Europe,Artifact Blob storage secondary,dbartifactsprodwesteu.blob.core.windows.net,northeurope,['20.60.197.68']
103,North Europe,Log Blob storage,dblogprodwesteurope.blob.core.windows.net,northeurope,['52.239.141.36']
104,North Europe,Event Hub endpoint,,northeurope,[]
105,Norway East,Metastore,consolidated-norwayeast-prod-metastore-0.mysql.database.azure.com,norwayeast,['51.120.96.0']
106,Norway East,Artifact Blob storage primary,dbartifactsprodnweast.blob.core.windows.net,norwayeast,['20.38.120.36']
107,Norway East,Artifact Blob storage secondary,dbartifactsprodwestus.blob.core.windows.net,norwayeast,['52.238.56.180']
108,Norway East,Log Blob storage,dblogprodnweast.blob.core.windows.net,norwayeast,['20.38.120.36']
109,Norway East,Event Hub endpoint,prod-norwayeast-observabilityEventHubs.servicebus.windows.net,norwayeast,['51.120.98.128']
110,South Africa North,Metastore,consolidated-southafricanorth-prod-metastore.mysql.database.azure.com,southafricanorth,['102.133.152.0']
111,South Africa North,Artifact Blob storage primary,dbartifactsprodsafrican.blob.core.windows.net,southafricanorth,['52.239.232.100']
112,South Africa North,Artifact Blob storage secondary,dbartifactsprodwestus.blob.core.windows.net,southafricanorth,['52.238.56.180']
113,South Africa North,Log Blob storage,dblogprodsafrican.blob.core.windows.net,southafricanorth,['52.239.232.36']
114,South Africa North,Event Hub endpoint,prod-southafricanorth-observabilityeventhubs.servicebus.windows.net,southafricanorth,['102.133.154.131']
115,South Central US,Metastore,,southcentralus,[]
116,South Central US,Artifact Blob storage primary,,southcentralus,[]
117,South Central US,Artifact Blob storage secondary,dbartifactsprodncus.blob.core.windows.net.,southcentralus,['52.239.186.196']
118,South Central US,Log Blob storage,,southcentralus,[]
119,South Central US,Event Hub endpoint,,southcentralus,[]
120,South India,Metastore,consolidated-southindia-prod-metastore.mysql.database.azure.com,southindia,['104.211.224.146']
121,South India,Artifact Blob storage primary,dbartifactsprodsindia.blob.core.windows.net,southindia,['104.211.232.16']
122,South India,Artifact Blob storage secondary,dbartifactsprodcindia.blob.core.windows.net,southindia,['104.211.109.52']
123,South India,Log Blob storage,dblogprodcindia.blob.core.windows.net,southindia,['104.211.109.52']
124,South India,Event Hub endpoint,prod-centralindia-observabilityeventhubs.servicebus.windows.net,southindia,['104.211.98.185']
125,Southeast Asia,Metastore,consolidated-southeastasia-prod-metastore.mysql.database.azure.com,southeastasia,['40.78.233.2']
126,Southeast Asia,Artifact Blob storage primary,,southeastasia,[]
127,Southeast Asia,Artifact Blob storage secondary,dbartifactsprodeap.blob.core.windows.net,southeastasia,['52.175.112.16']
128,Southeast Asia,Log Blob storage,dblogprodseasia.blob.core.windows.net,southeastasia,"['20.150.86.4', '20.150.86.36', '20.150.86.100']"
129,Southeast Asia,Event Hub endpoint,prod-southeastasia-observabilityeventhubs.servicebus.windows.net,southeastasia,['40.78.234.0']
130,Switzerland North,Metastore,consolidated-switzerlandnorth-prod-metastore-0.mysql.database.azure.com,switzerlandnorth,['51.107.56.0']
131,Switzerland North,Artifact Blob storage primary,dbartifactsprodswissnor.blob.core.windows.net,switzerlandnorth,['52.239.251.68']
132,Switzerland North,Artifact Blob storage secondary,dbartifactsprodwesteu.blob.core.windows.net,switzerlandnorth,['20.60.197.68']
133,Switzerland North,Log Blob storage,dblogprodswissnor.blob.core.windows.net,switzerlandnorth,['52.239.251.68']
134,Switzerland North,Event Hub endpoint,prod-switzerlandnorth-observabilityeventhubs.servicebus.windows.net,switzerlandnorth,['51.107.58.128']
135,UAE North,Metastore,consolidated-uaenorth-prod-metastore.mysql.database.azure.com,uaenorth,['65.52.248.0']
136,UAE North,Artifact Blob storage primary,dbartifactsproduaenorth.blob.core.windows.net,uaenorth,['52.239.233.228']
137,UAE North,Artifact Blob storage secondary,dbartifactsprodsafrican.blob.core.windows.net,uaenorth,['52.239.232.100']
138,UAE North,Log Blob storage,dblogproduaenorth.blob.core.windows.net,uaenorth,['52.239.233.228']
139,UAE North,Event Hub endpoint,prod-uaenorth-observabilityeventhubs.servicebus.windows.net,uaenorth,['65.52.250.32']
140,UK South,Metastore,consolidated-uksouth-prod-metastore.mysql.database.azure.com,uksouth,['51.105.64.0']
141,UK South,Artifact Blob storage primary,dbartifactsproduksouth.blob.core.windows.net,uksouth,"['20.38.106.100', '20.38.106.132', '52.239.231.228']"
142,UK South,Artifact Blob storage secondary,dbartifactsprodukwest.blob.core.windows.net,uksouth,['51.141.128.100']
143,UK South,Log Blob storage,dblogprodukwest.blob.core.windows.net,uksouth,['20.150.3.36']
144,UK South,Event Hub endpoint,prod-ukwest-observabilityeventhubs.servicebus.windows.net,uksouth,['51.140.210.34']
145,UK West,Metastore,consolidated-ukwest-prod-metastore.mysql.database.azure.com,ukwest,['51.141.8.11']
146,UK West,Artifact Blob storage primary,dbartifactsprodukwest.blob.core.windows.net,ukwest,['51.141.128.100']
147,UK West,Artifact Blob storage secondary,dbartifactsproduksouth.blob.core.windows.net,ukwest,"['20.38.106.100', '20.38.106.132', '52.239.231.228']"
148,UK West,Log Blob storage,dblogprodukwest.blob.core.windows.net,ukwest,['20.150.3.36']
149,UK West,Event Hub endpoint,prod-ukwest-observabilityeventhubs.servicebus.windows.net,ukwest,['51.140.210.34']
150,US Gov Arizona,Metastore,consolidated-usgovarizona-prod-metastore-0.mysql.database.usgovcloudapi.net,southafrica,['52.244.48.33']
151,US Gov Arizona,Artifact Blob storage primary,dbartifactsprodusgariz.blob.core.usgovcloudapi.net,southafrica,['52.239.166.10']
152,US Gov Arizona,Artifact Blob storage secondary,dbartifactsprodusgvirg.blob.core.usgovcloudapi.net,southafrica,['52.126.192.196']
153,US Gov Arizona,Log Blob storage,dblogprodusgovvirg.blob.core.usgovcloudapi.net,southafrica,['52.227.128.46']
154,US Gov Arizona,Event Hub endpoint,prod-usgovarizona-observabilityeventhubs.servicebus.usgovcloudapi.net,southafrica,['52.244.48.85']
155,US Gov Virginia,Metastore,consolidated-usgovvirginia-prod-metastore.mysql.database.usgovcloudapi.net,southindia,['13.72.48.140']
156,US Gov Virginia,Artifact Blob storage primary,dbartifactsprodusgvirg.blob.core.usgovcloudapi.net,southindia,['52.126.192.196']
157,US Gov Virginia,Artifact Blob storage secondary,dbartifactsprodusgariz.blob.core.usgovcloudapi.net,southindia,['52.239.166.10']
158,US Gov Virginia,Log Blob storage,dblogprodusgovvirg.blob.core.usgovcloudapi.net,southindia,['52.227.128.46']
159,US Gov Virginia,Event Hub endpoint,prod-usgovvirginia-observabilityeventhubs.servicebus.usgovcloudapi.net,southindia,['23.97.0.197']
160,West Europe,Metastore,,westeurope,[]
161,West Europe,Artifact Blob storage primary,,westeurope,[]
162,West Europe,Artifact Blob storage secondary,dbartifactsprodnortheu.blob.core.windows.net,westeurope,"['52.239.137.36', '52.245.40.100', '52.239.137.164']"
163,West Europe,Log Blob storage,dblogprodwesteurope.blob.core.windows.net,westeurope,['52.239.141.36']
164,West Europe,Event Hub endpoint,,westeurope,[]
165,West India,Metastore,consolidated-westindia-prod-metastore.mysql.database.azure.com,westindia,['104.211.160.80']
166,West India,Artifact Blob storage primary,dbartifactsprodwindia.blob.core.windows.net,westindia,['52.239.135.234']
167,West India,Artifact Blob storage secondary,dbartifactsprodsindia.blob.core.windows.net,westindia,['104.211.232.16']
168,West India,Log Blob storage,dblogprodcindia.blob.core.windows.net,westindia,['104.211.109.52']
169,West India,Event Hub endpoint,prod-centralindia-observabilityeventhubs.servicebus.windows.net,westindia,['104.211.98.185']
170,West US,Metastore,,westus,[]
171,West US,Artifact Blob storage primary,,westus,[]
172,West US,Artifact Blob storage secondary,dbartifactsprodwestus2.blob.core.windows.net,westus,"['20.150.78.164', '20.150.78.100', '20.150.78.36']"
173,West US,Log Blob storage,dblogprodwestus.blob.core.windows.net,westus,['20.150.34.228']
174,West US,Event Hub endpoint,,westus,[]
175,West US 2,Metastore,,westus2,[]
176,West US 2,Artifact Blob storage primary,,westus2,[]
177,West US 2,Artifact Blob storage secondary,dbartifactsprodwestus.blob.core.windows.net,westus2,['52.238.56.180']
178,West US 2,Log Blob storage,,westus2,[]
179,West US 2,Event Hub endpoint,prod-westus-observabilityEventHubs.servicebus.windows.net,westus2,['40.112.242.0']
